TimeStamp;TraceID;ActivityName
27.05.2022 08:59;276;T52
27.05.2022 09:18;276;T1
27.05.2022 10:04;276;T4
27.05.2022 11:57;276;T18
27.05.2022 12:58;276;T34
27.05.2022 13:31;276;T45
27.05.2022 14:26;276;T48
27.05.2022 15:59;276;T50
27.05.2022 16:47;276;T51
27.05.2022 17:48;276;T1
27.05.2022 18:53;276;T4
27.05.2022 19:53;276;T18
27.05.2022 20:03;276;T34
27.05.2022 21:42;276;T45
27.05.2022 22:12;276;T48
27.05.2022 23:25;276;T50
28.05.2022 00:28;276;T51
28.05.2022 01:10;276;T1
28.05.2022 02:48;276;T5
28.05.2022 03:09;276;T13
28.05.2022 04:17;276;T14
28.05.2022 05:01;276;T15
28.05.2022 06:51;276;T17
28.05.2022 07:05;276;T34
28.05.2022 08:27;276;T45
28.05.2022 09:47;276;T48
28.05.2022 10:57;276;T50
28.05.2022 11:23;276;T51
28.05.2022 12:30;276;T3
28.05.2022 13:57;276;T11
28.05.2022 14:23;276;T36
28.05.2022 15:43;276;T39
28.05.2022 16:59;276;T41
28.05.2022 17:27;276;T42
28.05.2022 18:58;276;T43
28.05.2022 19:51;276;T44
28.05.2022 20:25;276;T47
28.05.2022 21:22;276;T48
28.05.2022 22:57;276;T50
28.05.2022 23:48;276;T51
29.05.2022 00:10;276;T2
29.05.2022 01:18;276;T9
29.05.2022 02:56;276;T24
29.05.2022 03:01;276;T25
29.05.2022 04:43;276;T26
29.05.2022 05:53;276;T27
29.05.2022 06:48;276;T30
29.05.2022 07:29;276;T28
29.05.2022 08:38;276;T29
29.05.2022 09:37;276;T31
29.05.2022 10:53;276;T46
29.05.2022 11:21;276;T48
29.05.2022 12:21;276;T49
29.05.2022 13:58;277;T52
29.05.2022 14:58;277;T3
29.05.2022 15:24;277;T10
29.05.2022 16:32;277;T35
29.05.2022 17:09;277;T38
29.05.2022 18:20;277;T41
29.05.2022 19:08;277;T42
29.05.2022 20:49;277;T43
29.05.2022 21:47;277;T44
29.05.2022 22:17;277;T47
29.05.2022 23:33;277;T48
30.05.2022 00:03;277;T49
30.05.2022 01:41;278;T52
30.05.2022 02:59;278;T2
30.05.2022 03:31;278;T8
30.05.2022 04:41;278;T20
30.05.2022 05:36;278;T23
30.05.2022 06:05;278;T33
30.05.2022 07:37;278;T46
30.05.2022 08:22;278;T48
30.05.2022 09:13;278;T49
30.05.2022 10:38;279;T52
30.05.2022 11:49;279;T1
30.05.2022 12:20;279;T5
30.05.2022 13:55;279;T13
30.05.2022 14:52;279;T14
30.05.2022 15:08;279;T15
30.05.2022 16:38;279;T17
30.05.2022 17:34;279;T34
30.05.2022 18:27;279;T45
30.05.2022 19:04;279;T48
30.05.2022 20:49;279;T50
30.05.2022 21:41;279;T51
30.05.2022 22:20;279;T1
30.05.2022 23:23;279;T4
31.05.2022 00:12;279;T18
31.05.2022 01:31;279;T34
31.05.2022 02:24;279;T45
31.05.2022 03:13;279;T48
31.05.2022 04:10;279;T49
31.05.2022 05:22;280;T52
31.05.2022 06:03;280;T3
31.05.2022 07:56;280;T12
